"","Kod","Nazwa","Miasta...wieś","Płeć","Przyczyny.zgonów","Rok","Wartosc","Jednostka.miary","Atrybut","X"
"161",0,"POLSKA","miasto","mężczyźni","ostry zawał serca",2024,38.42,"-",NA,NA
"162",0,"POLSKA","miasto","mężczyźni","choroby naczyń mózgowych",2024,72,"-",NA,NA
"163",0,"POLSKA","miasto","mężczyźni","miażdżyca",2024,25.56,"-",NA,NA
"164",0,"POLSKA","miasto","mężczyźni","choroby układu oddechowego",2024,100.25,"-",NA,NA
"165",0,"POLSKA","miasto","mężczyźni","choroby układu trawiennego",2024,67.98,"-",NA,NA
"166",0,"POLSKA","miasto","mężczyźni","zwłóknienie i marskość wątroby",2024,6.55,"-",NA,NA
"167",0,"POLSKA","miasto","mężczyźni","choroby układu moczowo-płciowego",2024,20.17,"-",NA,NA
"168",0,"POLSKA","miasto","mężczyźni","ciąża, poród i połóg",2024,0,"-",NA,NA
"169",0,"POLSKA","miasto","mężczyźni","stany rozpoczynające się w okresie okołoporodowym",2024,1.72,"-",NA,NA
"170",0,"POLSKA","miasto","mężczyźni","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.68,"-",NA,NA
"171",0,"POLSKA","miasto","mężczyźni","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,119.65,"-",NA,NA
"172",0,"POLSKA","miasto","mężczyźni","zewnętrzne przyczyny zgonu",2024,70.48,"-",NA,NA
"173",0,"POLSKA","miasto","mężczyźni","wypadki komunikacyjne",2024,8.97,"-",NA,NA
"174",0,"POLSKA","miasto","mężczyźni","samobójstwa",2024,19,"-",NA,NA
"175",0,"POLSKA","miasto","mężczyźni","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,3.64,"-",NA,NA
"176",0,"POLSKA","miasto","kobiety","ogółem",2024,1080.7,"-",NA,NA
"177",0,"POLSKA","miasto","kobiety","choroby zakaźne i pasożytnicze",2024,5.45,"-",NA,NA
"178",0,"POLSKA","miasto","kobiety","gruźlica",2024,0.43,"-",NA,NA
"179",0,"POLSKA","miasto","kobiety","nowotwory",2024,294.91,"-",NA,NA
